Name of Member,Party Name,Constituency,State,UT,Category,Woman,First time,Age,DOB
"Sharma, Shri Kuldeep Rai",Indian National Congress,Andaman and Nicobar Islands,Andaman and Nicobar Islands,1,General,0,1,53,10/9/1967
"Beesetti , Dr. Venkata Satyavathi",Yuvajana Sramika Rythu Congress Party,Anakapalle,Andhra Pradesh,0,General,1,1,55,4/28/1966
"Bellana, Shri Chandra Sekhar",Yuvajana Sramika Rythu Congress Party,Vizianagaram,Andhra Pradesh,0,General,0,1,59,11/8/1961
"Chinta Anuradha, Smt.",Yuvajana Sramika Rythu Congress Party,Amalapuram,Andhra Pradesh,0,SC,1,1,48,10/18/1972
"Galla, Shri Jayadev",Telugu Desam Party,Guntur,Andhra Pradesh,0,General,0,0,55,3/24/1966
"Gurumoorthy, Shri Maddila",Yuvajana Sramika Rythu Congress Party,Tirupati,Andhra Pradesh,0,SC,0,1,35,6/22/1985
"Kanumuru, Shri Raghu Ramakrishna Raju",Yuvajana Sramika Rythu Congress Party,Narsapuram,Andhra Pradesh,0,General,0,1,59,5/14/1962
"Kesineni, Shri Srinivas",Telugu Desam Party,Vijayawada,Andhra Pradesh,0,General,0,0,55,1/22/1966
"Lavu, Shri Sri Krishna Devarayalu",Yuvajana Sramika Rythu Congress Party,Narasaraopet,Andhra Pradesh,0,General,0,1,38,4/29/1983
"Madhav, Shri Kuruva Gorantla",Yuvajana Sramika Rythu Congress Party,Hindupur,Andhra Pradesh,0,General,0,1,52,1/6/1969
"Madhavi, Smt. Goddeti",Yuvajana Sramika Rythu Congress Party,Araku,Andhra Pradesh,0,ST,1,1,28,6/18/1992
"Margani, Shri Bharat Ram",Yuvajana Sramika Rythu Congress Party,Rajahmundry,Andhra Pradesh,0,General,0,1,38,12/5/1982
"Nallakonda Gari, Shri Reddeppa",Yuvajana Sramika Rythu Congress Party,Chittoor,Andhra Pradesh,0,SC,0,1,70,1/10/1951
"Ram Mohan Naidu, Shri Kinjarapu",Telugu Desam Party,Srikakulam,Andhra Pradesh,0,General,0,0,33,12/18/1987
"Rangaiah, Shri Talari",Yuvajana Sramika Rythu Congress Party,Anantapur,Andhra Pradesh,0,General,0,1,51,3/6/1970
"Reddy, Shri Adala Prabhakara",Yuvajana Sramika Rythu Congress Party,Nellore,Andhra Pradesh,0,General,0,1,72,10/25/1948
"Reddy, Shri Magunta Sreenivasulu",Yuvajana Sramika Rythu Congress Party,Ongole,Andhra Pradesh,0,General,0,0,67,10/15/1953
"Reddy, Shri P.V. Midhun",Yuvajana Sramika Rythu Congress Party,Rajampet,Andhra Pradesh,0,General,0,0,43,8/29/1977
"Reddy, Shri Pocha Brahmananda",Yuvajana Sramika Rythu Congress Party,Nandyal,Andhra Pradesh,0,General,0,1,63,1/1/1958
"Reddy, Shri Y. S. Avinash",Yuvajana Sramika Rythu Congress Party,kadapa,Andhra Pradesh,0,General,0,0,36,8/27/1984
"Satyanarayana, Shri M V V",Yuvajana Sramika Rythu Congress Party,Visakhapatnam,Andhra Pradesh,0,General,0,1,54,6/25/1966
"Singari, Dr. Sanjeev Kumar",Yuvajana Sramika Rythu Congress Party,Kurnool,Andhra Pradesh,0,General,0,1,54,3/1/1967
"Sridhar, Shri Kotagiri",Yuvajana Sramika Rythu Congress Party,Eluru,Andhra Pradesh,0,General,0,1,47,10/22/1973
"Suresh, Shri Nandigam",Yuvajana Sramika Rythu Congress Party,Bapatla,Andhra Pradesh,0,SC,0,1,45,6/15/1976
"Vallabbhaneni, Shri Balashowry",Yuvajana Sramika Rythu Congress Party,Machilipatnam,Andhra Pradesh,0,General,0,0,52,9/18/1968
"Vanga, Smt. Geetha Viswanath",Yuvajana Sramika Rythu Congress Party,Kakinada,Andhra Pradesh,0,General,1,1,57,1/3/1964
"Gao, Shri Tapir",Bharatiya Janata Party,Arunachal East,Arunachal Pradesh,0,General,0,0,57,1/10/1964
"Rijiju, Shri Kiren",Bharatiya Janata Party,Arunachal West,Arunachal Pradesh,0,General,0,0,49,11/19/1971
"Ajmal, Maulana Badruddin",All India United Democratic Front,Dhubri,Assam,0,General,0,0,64,12/2/1956
"Baruah, Shri Pradan",Bharatiya Janata Party,Lakhimpur,Assam,0,General,0,0,56,4/30/1965
"Bey, Shri Horen Sing",Bharatiya Janata Party,Autonomous District,Assam,0,ST,0,1,51,5/2/1970
"Bordoloi, Shri Pradyut",Indian National Congress,Nawgong,Assam,0,General,0,1,62,3/28/1959
"Das, Shri Pallab Lochan",Bharatiya Janata Party,Tezpur,Assam,0,General,0,1,42,12/31/1978
"Dilip, Shri Saikia",Bharatiya Janata Party,Mangaldoi,Assam,0,General,0,1,48,1/9/1973
"Gogoi, Shri Gaurav",Indian National Congress,Kaliabor,Assam,0,General,0,0,39,4/9/1982
"Gogoi, Shri Topon Kumar",Bharatiya Janata Party,Jorhat,Assam,0,General,0,1,52,1/3/1969
"Khaleque, Shri Abdul",Indian National Congress,Barpeta,Assam,0,General,0,1,50,1/2/1971
"Mallah, Shri Kripanath",Bharatiya Janata Party,Karimganj,Assam,0,SC,0,1,47,10/15/1973
"Oja, Smt. Queen",Bharatiya Janata Party,Gauhati,Assam,0,General,1,1,70,11/27/1950
"Roy, Dr. Rajdeep",Bharatiya Janata Party,Silchar,Assam,0,General,0,1,50,7/9/1970
"Sarania, Shri Naba (Hira) Kumar",Independent,Kokrajhar,Assam,0,ST,0,0,52,1/5/1969
"Teli, Shri Rameswar",Bharatiya Janata Party,Dibrugarh,Assam,0,General,0,0,50,8/14/1970
"Choubey, Shri Ashwini Kumar",Bharatiya Janata Party,Buxar,Bihar,0,General,0,0,68,2/1/1953
"Devi, Smt. Rama",Bharatiya Janata Party,Sheohar,Bihar,0,General,1,0,72,5/5/1949
"Devi, Smt. Veena",Lok Jan Shakti Party,Vaishali,Bihar,0,General,1,1,54,4/22/1967
